name,male_cnt,female_cnt
Alfred,4067,0
Alfredo,11659,0
Algenis,16,0
Alger,5,0
Algernon,54,0
Alhaji,112,0
Alhan,10,0
Alhasan,33,0
Alhassan,113,0
Alhassane,26,0
Ali,12143,3986
Alian,43,0
Alias,350,0
Aliaz,5,0
Alic,100,0
Alice,5,20682
Alicia,11,28946
Alick,16,0
Alie,38,256
Alieu,126,0
Alif,77,0
Alii,36,6
Alija,66,38
Alijah,6471,704
Alijandro,10,0
Alijha,38,5
Alijiah,34,0
Alik,182,5
Alika,167,242
Alikai,6,0
Alikhan,5,0
Alim,287,0
Alin,85,308
Aliou,83,0
Alioune,102,0
Alireza,31,0
Alis,5,170
Alisha,5,7610
Alishan,13,0
Alisher,11,0
Alison,64,19130
Alistair,1070,0
Alistar,49,0
Alister,423,0
Alius,30,0
Alivia,10,19768
Alix,274,760
Alixander,160,0
Alixzander,55,0
Aliyah,28,26041
Aliyan,19,11
Aliyas,34,0
Aliza,5,4596
Alizah,5,574
Alizander,6,0
Alizay,5,579
Alize,133,3310
Aljay,5,0
Allah,29,0
Allam,5,0
Allan,6991,0
Allante,78,5
Allen,17202,73
Allenmichael,5,0
Allex,74,11
Alli,5,2287
Allias,10,0
Allie,50,18994
Allijah,24,0
Allin,10,0
Allison,179,87530
Allistair,16,0
Allister,337,6
Allon,41,0
Allston,6,0
Ally,5,6301
Allyn,163,292
Alma,89,6253
Alman,23,0
Almanzo,5,0
Almarion,13,0
Almedin,25,0
Almin,69,0
Almir,213,0
Almon,11,0
Alo,8,0
Alois,5,0
Alok,57,0
Alon,334,12
Alondo,10,0
Alondra,71,25096
Alondre,15,0
Alonso,4949,0
Alontae,104,0
Alontay,5,0
Alonte,169,6
Alonza,72,6
Alonzo,6731,0
Aloysius,186,0
Alp,145,0
Alper,37,0
Alperen,6,0
Alpha,621,69
Alphonse,248,0
Alphonso,673,0
Alphonzo,120,0
Alquan,53,0
Alric,80,0
Alrick,23,0
Alrik,8,0
Alshawn,11,0
Alshon,5,0
Alson,40,0
Alston,766,0
Altaf,8,0
Altair,69,86
Altan,37,0
Altariq,42,0
Altavious,5,0
Altay,19,0
Alter,168,0
Altin,109,0
Alton,2191,0
Altonio,23,0
Alucard,51,0
Alula,5,0
Alusine,20,0
Alva,70,199
Alvan,44,0
Alvar,5,0
Alvaro,5167,5
Alveiro,12,0
Alven,15,0
Alverto,11,0
Alvey,19,0
Alvi,24,0
Alvie,37,0
Alvieri,5,0
Alviery,13,0
Alvin,7526,0
Alvino,138,0
Alvion,16,0
Alvis,121,0
Alvon,25,0
Alvontae,5,0
Alvonte,14,0
Alvyn,21,0
Alwaleed,28,0
Alwin,86,0
Alwyn,60,0
Alxander,14,0
Alxavier,5,0
Aly,289,710
Alyaan,19,0
Alyan,26,0
Alyas,130,0
Alyias,5,0
Alyis,25,0
Alyjah,197,38
Alyk,15,0
Alymuhammad,5,0
Alyn,23,255
Alyosha,6,0
Alyric,7,152
Alyson,5,9141
Alyssa,191,140428
Alyster,18,0
Alyus,32,0
Alyx,69,429
Alyxander,102,0
Alyxzander,10,0
Amaad,38,0
Amaan,637,0
Amaar,238,0
Amaari,5,0
Amad,139,0
Amadeo,393,0
Amadeus,546,0
Amadi,66,80
Amado,658,0
Amador,479,0
Amadou,658,0
Amadu,74,0
Amahd,68,0
Amahri,62,32
Amair,56,0
Amaire,6,0
Amais,5,0
Amaj,15,0
Amaje,23,0
Amal,122,1090
Amalio,10,0
Aman,1218,86
Amancio,24,0
Amanda,87,52923
Amandeep,71,35
Amando,210,0
Amani,1480,6676
Amanie,5,114
Amanpreet,29,31
Amante,127,0
Amanti,52,29
Amanuel,299,0
Amar,1976,131
Amara,129,6835
Amardeep,5,0
Amare,4419,249
Amarea,6,118
Amaree,648,446
Amareion,12,0
Amareon,91,0
Amarey,5,5
Amareyon,5,0
Amari,11626,9648
Amaria,5,1583
Amariae,5,0
Amarian,283,0
Amarie,379,1514
Amarien,82,0
Amarieon,12,0
Amarii,277,220
Amarin,5,5
Amario,87,0
Amarion,2959,44
Amarious,39,0
Amaris,146,3616
Amarius,234,0
Amariyon,58,0
